交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/05/03,TXO,202105W1,15800.0000,買權,-,-,-,-,0,1500,0,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,15800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,15800.0000,賣權,0.8,1.3,0.3,1.1,560,1.1,1963,-,1.2,2.4,0.3,,一般,
2021/05/03,TXO,202105W1,15800.0000,賣權,0.7,1.6,0.5,1.3,641,-,-,0.5,1.2,2.4,0.5,,盤後,
2021/05/03,TXO,202105W1,15900.0000,買權,-,-,-,-,0,1400,0,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,15900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,15900.0000,賣權,0.5,1.3,0.3,1.3,308,1.3,679,0.2,1.4,2.6,0.3,,一般,
2021/05/03,TXO,202105W1,15900.0000,賣權,0.8,1.3,0.8,1.3,13,-,-,0.6,1.4,2.6,0.8,,盤後,
2021/05/03,TXO,202105W1,16000.0000,買權,-,-,-,-,0,1300,0,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,16000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16000.0000,賣權,1,1.5,0.5,1.5,80,1.5,396,0.2,1.6,3,0.5,,一般,
2021/05/03,TXO,202105W1,16000.0000,賣權,0.9,1,0.9,1,2,-,-,0.6,3.3,3,0.9,,盤後,
2021/05/03,TXO,202105W1,16100.0000,買權,-,-,-,-,0,1200,0,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,16100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16100.0000,賣權,0.8,1.9,0.5,1.9,52,1.9,190,-,1.9,3.5,0.5,,一般,
2021/05/03,TXO,202105W1,16100.0000,賣權,1.1,1.2,1.1,1.2,3,-,-,0.6,4,3.5,1.1,,盤後,
2021/05/03,TXO,202105W1,16200.0000,買權,-,-,-,-,0,1100,0,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,16200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16200.0000,賣權,0.9,1.9,0.5,1.9,77,1.9,236,0.5,2,3.8,0.5,,一般,
2021/05/03,TXO,202105W1,16200.0000,賣權,1.3,1.7,0.6,1.7,73,-,-,0.7,1.6,3.8,0.6,,盤後,
2021/05/03,TXO,202105W1,16300.0000,買權,-,-,-,-,0,1000,0,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,16300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16300.0000,賣權,1,2.5,0.6,2.2,254,2.2,375,0.7,2.3,4.5,0.6,,一般,
2021/05/03,TXO,202105W1,16300.0000,賣權,1.3,1.8,1.1,1.2,44,-,-,1.1,4.3,4.5,1.1,,盤後,
2021/05/03,TXO,202105W1,16400.0000,買權,-,-,-,-,0,905,0,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,16400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16400.0000,賣權,1.1,2.8,0.7,2.7,765,2.7,530,1.5,3,5.4,0.7,,一般,
2021/05/03,TXO,202105W1,16400.0000,賣權,1.4,2.3,1.3,2,36,-,-,1.9,3,5.4,1.3,,盤後,
2021/05/03,TXO,202105W1,16500.0000,買權,-,-,-,-,0,805,0,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,16500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16500.0000,賣權,1.2,3.8,1,3.5,1186,3.5,3172,0.8,3.4,6.4,1,,一般,
2021/05/03,TXO,202105W1,16500.0000,賣權,1.8,2.5,1.5,2.5,132,-,-,1.6,5,6.4,1.5,,盤後,
2021/05/03,TXO,202105W1,16600.0000,買權,-,-,-,-,0,705,0,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,16600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16600.0000,賣權,1.3,4.8,1,4.5,1572,4.5,4044,4,4.6,7.9,1,,一般,
2021/05/03,TXO,202105W1,16600.0000,賣權,1.8,3.2,1.5,3.2,245,-,-,1.4,3.3,7.9,1.5,,盤後,
2021/05/03,TXO,202105W1,16700.0000,買權,650,650,650,650,1,605,1,450,750,650,650,,一般,
2021/05/03,TXO,202105W1,16700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16700.0000,賣權,2.4,7,1.1,6.4,5383,6.4,5249,6.9,8,10.5,1.1,,一般,
2021/05/03,TXO,202105W1,16700.0000,賣權,3.4,4.4,1.9,4,479,-,-,2.2,4,10.5,1.9,,盤後,
2021/05/03,TXO,202105W1,16800.0000,買權,-,-,-,-,0,510,1,-,-,-,-,,一般,
2021/05/03,TXO,202105W1,16800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16800.0000,賣權,3.1,11,1.8,10,8811,10,4849,9.4,10.5,13.5,1.8,,一般,
2021/05/03,TXO,202105W1,16800.0000,賣權,4,5.1,2.5,3.1,461,-,-,3.1,4.5,13.5,2.5,,盤後,
2021/05/03,TXO,202105W1,16900.0000,買權,440,477,400,403,33,410,25,344,410,710,400,,一般,
2021/05/03,TXO,202105W1,16900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,16900.0000,賣權,4.9,17.5,2.6,15.5,12844,15.5,6559,15,16,20,2,,一般,
2021/05/03,TXO,202105W1,16900.0000,賣權,6.3,6.3,2,4.9,575,-,-,2.9,4.8,20,2,,盤後,
2021/05/03,TXO,202105W1,17000.0000,買權,580,580,290,309,145,323,102,280,323,720,290,,一般,
2021/05/03,TXO,202105W1,17000.0000,買權,615,620,580,580,15,-,-,560,2350,720,575,,盤後,
2021/05/03,TXO,202105W1,17000.0000,賣權,6.1,28.5,4,25,28114,25,12319,24.5,25,28.5,4,,一般,
2021/05/03,TXO,202105W1,17000.0000,賣權,8.9,8.9,5,5.3,1426,-,-,5.3,7,28.5,5,,盤後,
2021/05/03,TXO,202105W1,17050.0000,買權,328,351,248,279,168,279,52,134,278,605,248,,一般,
2021/05/03,TXO,202105W1,17050.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,17050.0000,賣權,8.3,36.5,5.1,32,15755,32,5256,31.5,32,36.5,5.1,,一般,
2021/05/03,TXO,202105W1,17050.0000,賣權,9.2,10,6.1,7,710,-,-,6.9,8.9,17,6.1,,盤後,
2021/05/03,TXO,202105W1,17100.0000,買權,385,395,207,230,714,230,173,200,238,595,207,,一般,
2021/05/03,TXO,202105W1,17100.0000,買權,530,530,485,485,3,-,-,368,575,595,454,,盤後,
2021/05/03,TXO,202105W1,17100.0000,賣權,8.5,47,6.6,42,24161,42,11823,40,41.5,47,6.6,,一般,
2021/05/03,TXO,202105W1,17100.0000,賣權,12.5,14,7.4,8.8,1915,-,-,8.8,9.9,41,7.4,,盤後,
2021/05/03,TXO,202105W1,17150.0000,買權,306,306,170,190,1124,199,183,186,199,510,170,,一般,
2021/05/03,TXO,202105W1,17150.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/03,TXO,202105W1,17150.0000,賣權,11,60,8.9,52,25454,52,8137,51,53,60,8.9,,一般,
2021/05/03,TXO,202105W1,17150.0000,賣權,15.5,18,9,11,1830,-,-,11,12,49,9,,盤後,
2021/05/03,TXO,202105W1,17200.0000,買權,355,355,135,154,2143,154,819,152,154,520,135,,一般,
2021/05/03,TXO,202105W1,17200.0000,買權,429,463,418,418,6,-,-,332,459,520,374,,盤後,
2021/05/03,TXO,202105W1,17200.0000,賣權,16,75,12,66,31189,66,10758,62,66,75,11.5,,一般,
2021/05/03,TXO,202105W1,17200.0000,賣權,20,24,11.5,15,4584,-,-,14.5,15,58,11.5,,盤後,
2021/05/03,TXO,202105W1,17250.0000,買權,305,305,104,119,5327,119,1559,119,122,473,104,,一般,
2021/05/03,TXO,202105W1,17250.0000,買權,407,412,369,370,13,-,-,333,430,473,339,,盤後,
2021/05/03,TXO,202105W1,17250.0000,賣權,20,95,16.5,82,29301,82,6513,81,85,95,14,,一般,
2021/05/03,TXO,202105W1,17250.0000,賣權,25,29.5,14,18,3070,-,-,18,19.5,69,14,,盤後,
2021/05/03,TXO,202105W1,17300.0000,買權,280,280,77,91,12464,91,2647,91,92,438,77,,一般,
2021/05/03,TXO,202105W1,17300.0000,買權,340,375,298,341,109,-,-,303,368,438,295,,盤後,
2021/05/03,TXO,202105W1,17300.0000,賣權,31.5,119,22,104,37193,104,9973,103,105,119,19,,一般,
2021/05/03,TXO,202105W1,17300.0000,賣權,31,38,19,24,4782,-,-,22.5,24,81,19,,盤後,
2021/05/03,TXO,202105W1,17350.0000,買權,217,239,56,67,17111,67,2802,67,69,390,56,,一般,
2021/05/03,TXO,202105W1,17350.0000,買權,292,328,265,305,105,-,-,285,384,390,265,,盤後,
2021/05/03,TXO,202105W1,17350.0000,賣權,42,146,30.5,130,23829,130,4292,130,132,146,24,,一般,
2021/05/03,TXO,202105W1,17350.0000,賣權,38,47.5,24,29.5,2926,-,-,27.5,30,94,24,,盤後,
2021/05/03,TXO,202105W1,17400.0000,買權,183,200,38,48.5,30186,48.5,5549,47,48.5,347,38,,一般,
2021/05/03,TXO,202105W1,17400.0000,買權,251,289,218,260,224,-,-,253,261,347,218,,盤後,
2021/05/03,TXO,202105W1,17400.0000,賣權,55,178,41,160,24487,160,3650,155,164,178,30.5,,一般,
2021/05/03,TXO,202105W1,17400.0000,賣權,48,59,30.5,38.5,5208,-,-,35.5,38.5,110,30.5,,盤後,
2021/05/03,TXO,202105W1,17450.0000,買權,148,163,24.5,31.5,30487,31.5,5637,31,32,310,24.5,,一般,
2021/05/03,TXO,202105W1,17450.0000,買權,215,245,184,228,145,-,-,207,228,310,184,,盤後,
2021/05/03,TXO,202105W1,17450.0000,賣權,66,215,54,198,22141,183,2371,183,213,215,39.5,,一般,
2021/05/03,TXO,202105W1,17450.0000,賣權,61,74,40,49,5847,-,-,48,50,127,39.5,,盤後,
2021/05/03,TXO,202105W1,17500.0000,買權,141,141,15,19,57588,19,13602,19,19.5,270,15,,一般,
2021/05/03,TXO,202105W1,17500.0000,買權,181,209,147,177,1293,-,-,177,186,270,147,,盤後,
2021/05/03,TXO,202105W1,17500.0000,賣權,82,254,71,233,18077,233,3397,230,238,254,49.5,,一般,
2021/05/03,TXO,202105W1,17500.0000,賣權,75,96,50,61,7424,-,-,62,63,151,49.5,,盤後,
2021/05/03,TXO,202105W1,17550.0000,買權,108,108,9.2,11.5,34649,11.5,11066,11,11.5,232,9.2,,一般,
2021/05/03,TXO,202105W1,17550.0000,買權,148,172,117,148,3453,-,-,146,148,232,117,,盤後,
2021/05/03,TXO,202105W1,17550.0000,賣權,107,298,91,277,8098,263,1953,263,300,298,61,,一般,
2021/05/03,TXO,202105W1,17550.0000,賣權,95,112,64,76,5012,-,-,73,81,173,61,,盤後,
2021/05/03,TXO,202105W1,17600.0000,買權,80,80,5.7,7.3,46924,7.3,11307,7.1,7.4,197,5.7,,一般,
2021/05/03,TXO,202105W1,17600.0000,買權,116,140,93,118,4469,-,-,117,118,197,93,,盤後,
2021/05/03,TXO,202105W1,17600.0000,賣權,132,343,115,318,6217,306,1510,305,319,343,76,,一般,
2021/05/03,TXO,202105W1,17600.0000,賣權,113,137,82,93,4705,-,-,93,98,200,76,,盤後,
2021/05/03,TXO,202105W1,17650.0000,買權,60,60,3.7,4.4,35709,4.4,11252,4.3,4.5,164,3.7,,一般,
2021/05/03,TXO,202105W1,17650.0000,買權,92,112,70,91,5163,-,-,90,92,164,70,,盤後,
2021/05/03,TXO,202105W1,17650.0000,賣權,159,384,146,358,4104,356,1048,212,394,384,93,,一般,
2021/05/03,TXO,202105W1,17650.0000,賣權,131,164,104,121,2393,-,-,122,124,227,93,,盤後,
2021/05/03,TXO,202105W1,17700.0000,買權,37.5,38.5,2.5,3.2,45107,3.2,11659,3.1,3.3,134,2.5,,一般,
2021/05/03,TXO,202105W1,17700.0000,買權,69,87,53,69,7917,-,-,68,70,134,53,,盤後,
2021/05/03,TXO,202105W1,17700.0000,賣權,199,437,178,407,2218,406,1052,275,444,437,113,,一般,
2021/05/03,TXO,202105W1,17700.0000,賣權,160,196,128,149,2077,-,-,148,154,259,113,,盤後,
2021/05/03,TXO,202105W1,17750.0000,買權,23.5,26,1.6,2.2,22969,2.2,7066,2,2.1,106,1.6,,一般,
2021/05/03,TXO,202105W1,17750.0000,買權,52,65,39,49.5,5753,-,-,49,49.5,106,39,,盤後,
2021/05/03,TXO,202105W1,17750.0000,賣權,239,485,217,485,803,455,302,286,491,485,136,,一般,
2021/05/03,TXO,202105W1,17750.0000,賣權,192,232,158,199,575,-,-,165,192,288,136,,盤後,
2021/05/03,TXO,202105W1,17800.0000,買權,20,20,1.3,1.7,25271,1.7,9342,1.4,1.7,83,1.3,,一般,
2021/05/03,TXO,202105W1,17800.0000,買權,35,48,27.5,35.5,6343,-,-,35,35.5,83,27.5,,盤後,
2021/05/03,TXO,202105W1,17800.0000,賣權,270,505,253,505,364,505,258,457,525,505,163,,一般,
2021/05/03,TXO,202105W1,17800.0000,賣權,219,265,192,212,293,-,-,202,239,313,163,,盤後,
2021/05/03,TXO,202105W1,17850.0000,買權,9.7,11,1,1.3,14046,1.3,6463,1.2,1.3,63,1,,一般,
2021/05/03,TXO,202105W1,17850.0000,買權,25,34.5,18.5,25,4610,-,-,24,25.5,63,18.5,,盤後,
2021/05/03,TXO,202105W1,17850.0000,賣權,293,585,293,585,101,550,89,550,575,585,195,,一般,
